link_id,from_node_id,to_node_id,capacity,length,vdf_fftt,vdf_alpha,vdf_beta,effective_capacity,effective_t0,effective_alpha,explicit_v,path_aggregate,link_residual,audit_abs_tolerance
44,15,14,5127.526119,5.0,5.0,0.15,4.0,5127.526119,5.0,0.15,8570.861067291142,8570.861067291142,0.0,8.670861067291142e-05
45,15,19,14564.75315,3.0,3.0,0.15,4.0,14564.75315,3.0,0.15,18718.19665611756,18718.196656117565,3.637978807091713e-12,0.00018818196656117565
46,15,22,9599.180565,3.0,3.0,0.15,4.0,9599.180565,3.0,0.15,16906.119270771753,16906.11927077175,-3.637978807091713e-12,0.00017006119270771748
47,16,8,5045.822583,5.0,5.0,0.15,4.0,5045.822583,5.0,0.15,8309.82766369657,8309.827663696573,3.637978807091713e-12,8.409827663696573e-05
48,16,10,4854.917717,4.0,4.0,0.15,4.0,4854.917717,4.0,0.15,11193.564649746932,11193.56464974694,9.094947017729282e-12,0.00011293564649746941
49,16,17,5229.910063,2.0,2.0,0.15,4.0,5229.910063,2.0,0.15,12287.04917760421,12287.049177604213,1.8189894035458565e-12,0.00012387049177604213
50,16,18,19679.89671,3.0,3.0,0.15,4.0,19679.89671,3.0,0.15,14880.746322751422,14880.746322751424,1.8189894035458565e-12,0.00014980746322751425
51,17,10,4993.510694,8.0,8.0,0.15,4.0,4993.510694,8.0,0.15,8094.331053700899,8094.331053700901,1.8189894035458565e-12,8.194331053700901e-05
52,17,16,5229.910063,2.0,2.0,0.15,4.0,5229.910063,2.0,0.15,12289.55185667589,12289.551856675893,3.637978807091713e-12,0.00012389551856675893
53,17,19,4823.950831,2.0,2.0,0.15,4.0,4823.950831,2.0,0.15,9459.508831656225,9459.508831656221,-3.637978807091713e-12,9.559508831656222e-05
54,18,7,23403.47319,2.0,2.0,0.15,4.0,23403.47319,2.0,0.15,14306.627827893904,14306.6278278939,-3.637978807091713e-12,0.000144066278278939
55,18,16,19679.89671,3.0,3.0,0.15,4.0,19679.89671,3.0,0.15,14852.303105193329,14852.303105193327,-1.8189894035458565e-12,0.00014952303105193328
56,18,20,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,19458.40106758436,19458.40106758437,1.0913936421275139e-11,0.0001955840106758437
57,19,15,14564.75315,3.0,3.0,0.15,4.0,14564.75315,3.0,0.15,18856.36864812464,18856.368648124637,-3.637978807091713e-12,0.00018956368648124637
58,19,17,4823.950831,2.0,2.0,0.15,4.0,4823.950831,2.0,0.15,9465.317572203554,9465.317572203547,-7.275957614183426e-12,9.565317572203546e-05
59,19,20,5002.607563,4.0,4.0,0.15,4.0,5002.607563,4.0,0.15,8274.622573008122,8274.622573008122,0.0,8.374622573008123e-05
60,20,18,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,19340.346707069435,19340.34670706942,-1.4551915228366852e-11,0.00019440346707069422
61,20,19,5002.607563,4.0,4.0,0.15,4.0,5002.607563,4.0,0.15,8418.603305587949,8418.603305587947,-1.8189894035458565e-12,8.518603305587947e-05
62,20,21,5059.91234,6.0,6.0,0.15,4.0,5059.91234,6.0,0.15,7155.995391864513,7155.995391864511,-2.7284841053187847e-12,7.25599539186451e-05
63,20,22,5075.697193,5.0,5.0,0.15,4.0,5075.697193,5.0,0.15,6910.287547582463,6910.287547582462,-9.094947017729282e-13,7.010287547582462e-05
64,21,20,5059.91234,6.0,6.0,0.15,4.0,5059.91234,6.0,0.15,7062.967186973577,7062.967186973574,-2.7284841053187847e-12,7.162967186973574e-05
65,21,22,5229.910063,2.0,2.0,0.15,4.0,5229.910063,2.0,0.15,8003.174999673226,8003.174999673225,-9.094947017729282e-13,8.103174999673224e-05
66,21,24,4885.357564,3.0,3.0,0.15,4.0,4885.357564,3.0,0.15,10696.8656911699,10696.865691169902,1.8189894035458565e-12,0.00010796865691169902
67,22,15,9599.180565,3.0,3.0,0.15,4.0,9599.180565,3.0,0.15,16694.156453109386,16694.156453109397,1.0913936421275139e-11,0.00016794156453109397
68,22,20,5075.697193,5.0,5.0,0.15,4.0,5075.697193,5.0,0.15,6929.242124869234,6929.242124869236,1.8189894035458565e-12,7.029242124869237e-05
69,22,21,5229.910063,2.0,2.0,0.15,4.0,5229.910063,2.0,0.15,8001.432151505244,8001.432151505241,-3.637978807091713e-12,8.101432151505241e-05
70,22,23,5000.0,4.0,4.0,0.15,4.0,5000.0,4.0,0.15,9080.066520305247,9080.066520305249,1.8189894035458565e-12,9.180066520305248e-05
71,23,14,4924.790605,4.0,4.0,0.15,4.0,4924.790605,4.0,0.15,7491.235763103624,7491.235763103623,-9.094947017729282e-13,7.591235763103622e-05
72,23,22,5000.0,4.0,4.0,0.15,4.0,5000.0,4.0,0.15,8885.315432175097,8885.315432175097,0.0,8.985315432175097e-05
73,23,24,5078.508436,2.0,2.0,0.15,4.0,5078.508436,2.0,0.15,7500.352712649574,7500.352712649576,1.8189894035458565e-12,7.600352712649576e-05
74,24,13,5091.256152,4.0,4.0,0.15,4.0,5091.256152,4.0,0.15,11041.766283599743,11041.76628359974,-3.637978807091713e-12,0.0001114176628359974
75,24,21,4885.357564,3.0,3.0,0.15,4.0,4885.357564,3.0,0.15,10605.58033484522,10605.580334845223,3.637978807091713e-12,0.00010705580334845222
76,24,23,5078.508436,2.0,2.0,0.15,4.0,5078.508436,2.0,0.15,7432.353519753468,7432.3535197534675,-9.094947017729282e-13,7.532353519753467e-05
