stop_id,zone_id,straight_distance_m,method
193,42,20.733,nearest fine-zone centroid; boundary topology not certified
9039,44,31.79,nearest fine-zone centroid; boundary topology not certified
10269,5,79.281,nearest fine-zone centroid; boundary topology not certified
12352,12,113.792,nearest fine-zone centroid; boundary topology not certified
12386,34,149.418,nearest fine-zone centroid; boundary topology not certified
12481,12,150.358,nearest fine-zone centroid; boundary topology not certified
12726,7,117.582,nearest fine-zone centroid; boundary topology not certified
12746,35,121.971,nearest fine-zone centroid; boundary topology not certified
12878,7,34.013,nearest fine-zone centroid; boundary topology not certified
12885,20,199.865,nearest fine-zone centroid; boundary topology not certified
12911,5,146.773,nearest fine-zone centroid; boundary topology not certified
12939,11,68.752,nearest fine-zone centroid; boundary topology not certified
13077,28,96.741,nearest fine-zone centroid; boundary topology not certified
13136,47,60.62,nearest fine-zone centroid; boundary topology not certified
13137,56,74.91,nearest fine-zone centroid; boundary topology not certified
13236,14,162.714,nearest fine-zone centroid; boundary topology not certified
13310,62,146.738,nearest fine-zone centroid; boundary topology not certified
13341,62,145.97,nearest fine-zone centroid; boundary topology not certified
13342,94,95.455,nearest fine-zone centroid; boundary topology not certified
13364,12,173.592,nearest fine-zone centroid; boundary topology not certified
13425,95,55.282,nearest fine-zone centroid; boundary topology not certified
10000137,89,126.076,nearest fine-zone centroid; boundary topology not certified
10000247,94,93.065,nearest fine-zone centroid; boundary topology not certified
10000344,38,219.627,nearest fine-zone centroid; boundary topology not certified
10000345,63,120.468,nearest fine-zone centroid; boundary topology not certified
20000411,34,113.757,nearest fine-zone centroid; boundary topology not certified
20000446,11,152.079,nearest fine-zone centroid; boundary topology not certified
20000462,77,52.896,nearest fine-zone centroid; boundary topology not certified
20000476,20,72.146,nearest fine-zone centroid; boundary topology not certified
20000478,19,27.847,nearest fine-zone centroid; boundary topology not certified
20000479,8,77.601,nearest fine-zone centroid; boundary topology not certified
20000482,9,58.03,nearest fine-zone centroid; boundary topology not certified
20000483,18,43.244,nearest fine-zone centroid; boundary topology not certified
20000484,20,75.451,nearest fine-zone centroid; boundary topology not certified
20000685,20,92.65,nearest fine-zone centroid; boundary topology not certified
20000686,31,56.448,nearest fine-zone centroid; boundary topology not certified
20000687,89,111.299,nearest fine-zone centroid; boundary topology not certified
20000688,3,42.834,nearest fine-zone centroid; boundary topology not certified
20000693,63,101.617,nearest fine-zone centroid; boundary topology not certified
20000694,61,37.754,nearest fine-zone centroid; boundary topology not certified
20000696,76,30.668,nearest fine-zone centroid; boundary topology not certified
20000697,79,57.583,nearest fine-zone centroid; boundary topology not certified
20000698,89,82.428,nearest fine-zone centroid; boundary topology not certified
20000700,20,96.86,nearest fine-zone centroid; boundary topology not certified
20000870,41,34.353,nearest fine-zone centroid; boundary topology not certified
20000995,89,69.515,nearest fine-zone centroid; boundary topology not certified
20002222,29,139.774,nearest fine-zone centroid; boundary topology not certified
20002670,86,194.624,nearest fine-zone centroid; boundary topology not certified
20002671,90,201.635,nearest fine-zone centroid; boundary topology not certified
20002816,5,129.422,nearest fine-zone centroid; boundary topology not certified
20003010,84,141.587,nearest fine-zone centroid; boundary topology not certified
20003011,88,41.387,nearest fine-zone centroid; boundary topology not certified
20003076,90,113.421,nearest fine-zone centroid; boundary topology not certified
20004189,64,55.785,nearest fine-zone centroid; boundary topology not certified
20006095,5,68.456,nearest fine-zone centroid; boundary topology not certified
20006099,5,88.922,nearest fine-zone centroid; boundary topology not certified
20006100,12,59.822,nearest fine-zone centroid; boundary topology not certified
20006105,14,35.782,nearest fine-zone centroid; boundary topology not certified
20006918,12,131.294,nearest fine-zone centroid; boundary topology not certified
20006919,11,99.213,nearest fine-zone centroid; boundary topology not certified
20007072,95,28.075,nearest fine-zone centroid; boundary topology not certified
20007073,95,67.411,nearest fine-zone centroid; boundary topology not certified
20007612,86,60.036,nearest fine-zone centroid; boundary topology not certified
20009901,20,75.055,nearest fine-zone centroid; boundary topology not certified
20009904,7,56.333,nearest fine-zone centroid; boundary topology not certified
20010064,62,164.143,nearest fine-zone centroid; boundary topology not certified
20010066,5,165.512,nearest fine-zone centroid; boundary topology not certified
20010067,94,105.589,nearest fine-zone centroid; boundary topology not certified
20010466,89,109.695,nearest fine-zone centroid; boundary topology not certified
20010467,89,129.116,nearest fine-zone centroid; boundary topology not certified
20011781,31,93.4,nearest fine-zone centroid; boundary topology not certified
20012052,29,111.633,nearest fine-zone centroid; boundary topology not certified
20012053,29,27.823,nearest fine-zone centroid; boundary topology not certified
20012054,26,87.315,nearest fine-zone centroid; boundary topology not certified
20012055,25,52.777,nearest fine-zone centroid; boundary topology not certified
20012056,27,59.678,nearest fine-zone centroid; boundary topology not certified
20012135,86,114.76,nearest fine-zone centroid; boundary topology not certified
20012136,86,149.888,nearest fine-zone centroid; boundary topology not certified
20012540,14,75.556,nearest fine-zone centroid; boundary topology not certified
20013199,81,69.57,nearest fine-zone centroid; boundary topology not certified
20013200,45,36.941,nearest fine-zone centroid; boundary topology not certified
20013201,42,44.558,nearest fine-zone centroid; boundary topology not certified
20013207,54,23.584,nearest fine-zone centroid; boundary topology not certified
20013231,47,39.329,nearest fine-zone centroid; boundary topology not certified
20013239,43,60.75,nearest fine-zone centroid; boundary topology not certified
20014287,14,144.338,nearest fine-zone centroid; boundary topology not certified
20014289,59,41.207,nearest fine-zone centroid; boundary topology not certified
20014290,47,28.625,nearest fine-zone centroid; boundary topology not certified
20014291,81,28.427,nearest fine-zone centroid; boundary topology not certified
20014306,82,24.164,nearest fine-zone centroid; boundary topology not certified
20014307,43,45.767,nearest fine-zone centroid; boundary topology not certified
20014308,46,51.895,nearest fine-zone centroid; boundary topology not certified
20014309,67,16.378,nearest fine-zone centroid; boundary topology not certified
20014310,5,130.671,nearest fine-zone centroid; boundary topology not certified
20014311,12,163.133,nearest fine-zone centroid; boundary topology not certified
20014313,94,85.756,nearest fine-zone centroid; boundary topology not certified
20014320,14,85.348,nearest fine-zone centroid; boundary topology not certified
20014321,33,55.342,nearest fine-zone centroid; boundary topology not certified
20014322,27,107.195,nearest fine-zone centroid; boundary topology not certified
20014323,23,79.69,nearest fine-zone centroid; boundary topology not certified
20014328,91,44.876,nearest fine-zone centroid; boundary topology not certified
20014338,92,84.716,nearest fine-zone centroid; boundary topology not certified
20014341,22,176.236,nearest fine-zone centroid; boundary topology not certified
20014342,23,79.021,nearest fine-zone centroid; boundary topology not certified
20014343,28,117.611,nearest fine-zone centroid; boundary topology not certified
20016921,38,229.547,nearest fine-zone centroid; boundary topology not certified
20019966,94,98.076,nearest fine-zone centroid; boundary topology not certified
20019970,77,51.931,nearest fine-zone centroid; boundary topology not certified
20019996,48,51.303,nearest fine-zone centroid; boundary topology not certified
20020066,81,7.129,nearest fine-zone centroid; boundary topology not certified
20021321,89,90.774,nearest fine-zone centroid; boundary topology not certified
20022669,51,68.316,nearest fine-zone centroid; boundary topology not certified
20022674,77,54.723,nearest fine-zone centroid; boundary topology not certified
80000002,35,262.698,nearest fine-zone centroid; boundary topology not certified
