tier,zone_id,person_trip_productions,attraction_proxy,production_rate_per_resident,period,status
smoke,64,2.504,1252.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,65,1.994,997.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,66,1.598,799.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,67,1.068,534.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,68,1.69,845.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,69,0.93,465.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,70,0.804,402.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,71,0.9420000000000001,471.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,72,1.228,614.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,73,1.082,541.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,74,1.502,751.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,75,1.62,810.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,76,0.87,435.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,77,2.134,1067.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,78,1.774,887.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,79,1.488,744.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,80,8.34,4170.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,81,1.614,807.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,82,0.6948585250826774,347.4292625413387,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,83,0.6211455037588322,310.57275187941605,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,84,0.2852745404204559,142.63727021022797,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,85,1.548,774.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,86,4.462,2231.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,87,5.194012980839759,2597.0064904198794,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,88,2.0420000000000003,1021.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,89,2.85,1425.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,90,1.68,840.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,91,9.739931116259253,4869.9655581296265,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,92,4.773708400177828,2386.854200088914,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,93,0.17412179478888373,87.06089739444187,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,94,5.316392672430318,2658.196336215159,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,95,2.0066580637868383,1003.329031893419,0.002,abstract one-hour scenario,scenario_seed_not_observed
pilot,1,28.200000000000003,564.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,2,20.1,402.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,3,45.35,907.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,4,36.65,733.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,5,52.35,1047.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,6,61.150000000000006,1223.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,7,27.700000000000003,554.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,8,31.25,625.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,9,40.45,809.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,10,34.4,688.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,11,119.04857084596307,2380.971416919261,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,12,40.4202215890982,808.4044317819639,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,13,38.25,765.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,14,61.4531300295596,1229.062600591192,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,15,26.200000000000003,524.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,16,21.1,422.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,17,107.60000000000001,2152.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,18,62.6,1252.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,19,30.650000000000002,613.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,20,47.85,957.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,21,40.25,805.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,22,24.150000000000002,483.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,23,28.6,572.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,24,24.6,492.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,25,31.75,635.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,26,34.45,689.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,27,51.550000000000004,1031.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,28,40.1,802.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,29,21.85,437.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,30,104.55000000000001,2091.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,31,55.900000000000006,1118.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,32,21.25,425.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,33,46.45,929.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,34,92.87866938433407,1857.5733876866814,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,35,29.150000000000002,583.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,36,23.150000000000002,463.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,37,24.900000000000002,498.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,38,15.763451589704943,315.26903179409885,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,39,5.979901523712823,119.59803047425646,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,40,16.86127621186382,337.2255242372764,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,41,29.0,580.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,42,31.950000000000003,639.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,43,42.85,857.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,44,28.85,577.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,45,28.0,560.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,46,37.050000000000004,741.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,47,30.650000000000002,613.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,48,43.5,870.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,49,25.1,502.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,50,21.5,430.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,51,28.85,577.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,52,26.55,531.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,53,29.450000000000003,589.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,54,22.1,442.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,55,25.35,507.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,56,60.650000000000006,1213.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,57,80.7,1614.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,58,72.3,1446.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,59,78.0,1560.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,60,59.0,1180.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,61,73.95,1479.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,62,59.5,1190.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,63,67.85000000000001,1357.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,64,62.6,1252.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,65,49.85,997.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,66,39.95,799.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,67,26.700000000000003,534.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,68,42.25,845.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,69,23.25,465.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,70,20.1,402.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,71,23.55,471.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,72,30.700000000000003,614.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,73,27.05,541.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,74,37.550000000000004,751.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,75,40.5,810.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,76,21.75,435.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,77,53.35,1067.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,78,44.35,887.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,79,37.2,744.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,80,208.5,4170.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,81,40.35,807.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,82,17.371463127066935,347.4292625413387,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,83,15.528637593970803,310.57275187941605,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,84,7.1318635105113986,142.63727021022797,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,85,38.7,774.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,86,111.55000000000001,2231.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,87,129.85032452099398,2597.0064904198794,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,88,51.050000000000004,1021.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,89,71.25,1425.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,90,42.0,840.0,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,91,243.49827790648135,4869.9655581296265,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,92,119.34271000444569,2386.854200088914,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,93,4.353044869722093,87.06089739444187,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,94,132.90981681075797,2658.196336215159,0.05,abstract one-hour scenario,scenario_seed_not_observed
pilot,95,50.16645159467095,1003.329031893419,0.05,abstract one-hour scenario,scenario_seed_not_observed
