relative_path,bytes,sha256
instance/connector_link.csv,38814,1414e06f1e3085a1cdff3fea054410e976aa005a97f5d67f69fc34b114579ba1
instance/demand_S1.csv,12949,8c315b7cebad67289905be4a231cfa69674f80047c8b0f6217d51907ff96e6d0
instance/demand_seed_person.csv,94871,a7c9818f8be4c7818bdfd89d84de84ed60af2bdf695e19f0812d2c00bf6f6cfb
instance/demand_seed_vehicle.csv,90809,1cbc713601daa3c42c4803a9dd17601812cf7b0a93f5d3f7d540928da641ba75
instance/detector_observations.csv,5165,f12114e02caebdcbd119196a97e7df7a3acbdd82393d364bf1d59225a861f527
instance/detector_to_link.csv,2439,c31835eaa8fbf5a3e293aad04163f9181a7b67c2c3e52a6b3d26877689b5058c
instance/excluded_or_unknown_demand.csv,7748,30f38d8b2548144a15ffb318897d712cc1861e0c8cc202e4028b573581e46cd5
instance/link.csv,418621,2f789ddb8d5297d1cf7f2af038aad8c93f5ca7afba69026ead45a7c7e71490ab
instance/movement.csv,37432,0faab1c3b6fcf2113ac4994183316903d0e76c280ae9eed94f66d886d966f10e
instance/network_quarantine.csv,1354,a633ae3014c715909ff0ed29d6f2f8a3ae56f0ff8e0e7b3312de01983be9df2c
instance/node.csv,89662,d91d4fac2d8f2f477a8c80e2cc847b591ad839c879908af41e4fbbcb03768ebb
instance/pilot_boundary.geojson,804,a257bbe7248cbf02663207de33342ed45e771afab29af46357ea7694a0a7e6c2
instance/production_attraction.csv,16766,9db2e85463bfa751a1d444244e0de8b1cc4e5911abf0616e7dca2bbe94a4917a
instance/source_link_crosswalk.csv,59351,fd89cc015adbe1d65b8a73ea866de4b3626e3131a54d00768c6173631bf70d2f
instance/source_node_crosswalk.csv,79602,7d2b21fc757860064af0009ea32011c287d2e3fab8ca6c0834b8460687d3101e
instance/stop_to_network.csv,17709,a0dd4464a5d1f4582617348bffa8e1a6808782a16a56194fdd14fa0f9b2c4290
instance/stop_to_zone.csv,14358,7ddfd8787fdd827d14e9196177c9a5be9afc0838888a05129deba94df9580979
instance/super_zone.csv,50985,9d0f83ef92c498bdcdb06390f2ce6dee9584eadedfe3e788b7ae08ae455dbfee
instance/transit_fares.csv,13244261,20109f37cb7db049c0a865c6dc2c9120e4cee4540aa0faf653e2ed40cb84d952
instance/transit_route_service.csv,64145,55fcd18d82d09a1303ab82e45418494aaa22ae48117349d2e9076e9d72da1dbc
instance/transit_stop_route.csv,59046,328c8689b11e4e688e007da24c0329c2d9cecb8cb91cd6ab8bcdaab5821cb58f
instance/transit_stops.csv,18016,e7b90031afaba56d91a8414b62e0d53b6812b7f51aa78e195c51da0904d0a2f2
instance/turn_limitations.csv,9612,649705558d2ca4c7a67612f3a53baef3d32a7daed6e6ed90449981408d164208
instance/zone.csv,256186,47ddcad42334c879ff0a52771da8e02471d2ae1c9adf81f3e369348c4d545afc
instance/zone_access.csv,9750,b622526643866d797c6c5a27d388018e3d8c5179e6a772d09778a6902bb55010
instance/zone_activity.csv,6109,d2d9b0e2a433b3c39f4b55013f13554ad5a78f5b9e558ed56d6721b4e8f5f4a8
instance/zone_geometry.geojson,383282,5c916bbdfdb4a2c03a25b07e6a060bcf587d2bbbaffebfdb4b44053c66069162
instance/zone_population_households.csv,6690,d8c9474638a251c01324c1c571755e68ae355874bb767e3dfa02f58ab949c199
instance/zone_source_crosswalk.csv,6002,7b6bb7f0e671f0c5bc8b312049620e97443ddac617b0975c536df078a978c340
observation_source_register.csv,525,4ac271ee6f92cb72e9e16d7a8161702249857aae02161b9916184aa36d0252d7
trace_pilot.py,4716,5cb64466050844e3eb5c0abda6dfde552c92ede707e2628d76b4cac7161bd4d1
validate_pilot.py,8494,01a900349693b4a7241230bc2f32fd725c2c30d32094d15fd9fcbe1970ff46ca
visuals/01_boundary_coverage.svg,203778,a50770781428c077c6f4be57d987bd58d6f5424d796ad824f46152bd57efab3d
visuals/01_boundary_coverage.svg.meta.json,613,f1af70312a69d25628f2847e8405831e4d9f4ec6303553cdef7c6086b3e81971
visuals/02_roads_zones.svg,238736,13c6fe21bfdf5e14693f5b3174068917c45778592b7508704f5e2f3aa36e6b34
visuals/02_roads_zones.svg.meta.json,587,c42185b9e976225310e26a4a9f2b5a38a2537e50c4e5b1c8541d29a2dd68ef85
visuals/03_centroid_access.svg,248957,4ef8e2e97b69b952ecdd2a58d83626d9af0257aa3d2359abb0c70efe00c981df
visuals/03_centroid_access.svg.meta.json,551,0871c555ee375a695aaa24ee13511304e738b57a44436a108297a811287f5209
visuals/04_transit_pedestrian.svg,393538,6e5c13e4586832dd4be5fffd15dad6df3ea2162776824685cc11d0d1bd0d705c
visuals/04_transit_pedestrian.svg.meta.json,569,b5fa58ac70a02222708ad25db811c9796624078bc3d078d782678a0a10604105
visuals/06_demand_seed.svg,253314,ea50a4f51313c2e38f40a446e4e5c14d5d00a0ec566a013dfe365ba757c1210a
visuals/06_demand_seed.svg.meta.json,623,249ef020e6252a8212cfcc0817294fa21c1431284580c0bba2142dbffebf616f
visuals/index.html,1114,340e81fe59b1ce1bfd2b688ce024b2dc33e610be7b7391eb5bb2d23890365969
