link_id,from_node_id,to_node_id,capacity,length,vdf_fftt,vdf_alpha,vdf_beta,effective_capacity,effective_t0,effective_alpha,explicit_v,path_aggregate,link_residual,audit_abs_tolerance
14,6,2,4958.180928,5.0,5.0,0.15,4.0,4958.180928,5.0,0.15,7290.871116519625,7290.871116519624,-9.094947017729282e-13,7.390871116519624e-05
15,6,5,4947.995469,4.0,4.0,0.15,4.0,4947.995469,4.0,0.15,7199.0351251340835,7199.0351251340835,0.0,7.299035125134083e-05
16,6,8,4898.587646,2.0,2.0,0.15,4.0,4898.587646,2.0,0.15,13501.370888105426,13501.370888105432,5.4569682106375694e-12,0.00013601370888105432
17,7,8,7841.81131,3.0,3.0,0.15,4.0,7841.81131,3.0,0.15,11408.475390774034,11408.475390774034,0.0,0.00011508475390774034
18,7,18,23403.47319,2.0,2.0,0.15,4.0,23403.47319,2.0,0.15,14306.203941077363,14306.203941077376,1.2732925824820995e-11,0.00014406203941077375
19,8,6,4898.587646,2.0,2.0,0.15,4.0,4898.587646,2.0,0.15,13507.936207087378,13507.936207087381,3.637978807091713e-12,0.00013607936207087382
20,8,7,7841.81131,3.0,3.0,0.15,4.0,7841.81131,3.0,0.15,11401.506220187774,11401.506220187772,-1.8189894035458565e-12,0.00011501506220187772
21,8,9,5050.193156,10.0,10.0,0.15,4.0,5050.193156,10.0,0.15,5099.432921896962,5099.432921896962,0.0,5.199432921896962e-05
22,8,16,5045.822583,5.0,5.0,0.15,4.0,5045.822583,5.0,0.15,8307.443823648671,8307.443823648671,0.0,8.407443823648671e-05
23,9,5,10000.0,5.0,5.0,0.15,4.0,10000.0,5.0,0.15,16250.173650078497,16250.173650078485,-1.2732925824820995e-11,0.00016350173650078484
24,9,8,5050.193156,10.0,10.0,0.15,4.0,5050.193156,10.0,0.15,5099.595327562113,5099.595327562114,9.094947017729282e-13,5.199595327562114e-05
25,9,10,13915.78842,3.0,3.0,0.15,4.0,13915.78842,3.0,0.15,22495.392083404477,22495.392083404484,7.275957614183426e-12,0.00022595392083404485
26,10,9,13915.78842,3.0,3.0,0.15,4.0,13915.78842,3.0,0.15,22888.56250576467,22888.562505764658,-1.0913936421275139e-11,0.00022988562505764658
27,10,11,10000.0,5.0,5.0,0.15,4.0,10000.0,5.0,0.15,16955.763226905172,16955.76322690517,-3.637978807091713e-12,0.00017055763226905168
28,10,15,13512.00155,6.0,6.0,0.15,4.0,13512.00155,6.0,0.15,25887.822451923676,25887.82245192368,3.637978807091713e-12,0.0002598782245192368
29,10,16,4854.917717,4.0,4.0,0.15,4.0,4854.917717,4.0,0.15,10004.248211768345,10004.248211768345,0.0,0.00010104248211768345
30,10,17,4993.510694,8.0,8.0,0.15,4.0,4993.510694,8.0,0.15,8088.333222519488,8088.33322251949,1.8189894035458565e-12,8.18833322251949e-05
31,11,4,4908.82673,6.0,6.0,0.15,4.0,4908.82673,6.0,0.15,5708.293657136712,5708.293657136709,-2.7284841053187847e-12,5.808293657136709e-05
32,11,10,10000.0,5.0,5.0,0.15,4.0,10000.0,5.0,0.15,16709.140519660083,16709.140519660068,-1.4551915228366852e-11,0.00016809140519660068
33,11,12,4908.82673,6.0,6.0,0.15,4.0,4908.82673,6.0,0.15,8759.444852831328,8759.444852831326,-1.8189894035458565e-12,8.859444852831326e-05
34,11,14,4876.508287,4.0,4.0,0.15,4.0,4876.508287,4.0,0.15,8929.22853574927,8929.22853574927,0.0,9.029228535749269e-05
35,12,3,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,12071.26120728366,12071.261207283658,-1.8189894035458565e-12,0.00012171261207283658
36,12,11,4908.82673,6.0,6.0,0.15,4.0,4908.82673,6.0,0.15,8779.618529447627,8779.61852944763,3.637978807091713e-12,8.87961852944763e-05
37,12,13,25900.20064,3.0,3.0,0.15,4.0,25900.20064,3.0,0.15,15134.374405335973,15134.374405335971,-1.8189894035458565e-12,0.0001523437440533597
38,13,12,25900.20064,3.0,3.0,0.15,4.0,25900.20064,3.0,0.15,15272.009077612583,15272.009077612582,-1.8189894035458565e-12,0.0001537200907761258
39,13,24,5091.256152,4.0,4.0,0.15,4.0,5091.256152,4.0,0.15,11024.597696628402,11024.597696628398,-3.637978807091713e-12,0.00011124597696628398
40,14,11,4876.508287,4.0,4.0,0.15,4.0,4876.508287,4.0,0.15,8545.397819460713,8545.397819460712,-1.8189894035458565e-12,8.645397819460711e-05
41,14,15,5127.526119,5.0,5.0,0.15,4.0,5127.526119,5.0,0.15,7863.473770340589,7863.473770340584,-4.547473508864641e-12,7.963473770340584e-05
42,14,23,4924.790605,4.0,4.0,0.15,4.0,4924.790605,4.0,0.15,6535.604267097013,6535.60426709701,-2.7284841053187847e-12,6.63560426709701e-05
43,15,10,13512.00155,6.0,6.0,0.15,4.0,13512.00155,6.0,0.15,26408.950678296274,26408.950678296274,0.0,0.0002650895067829628
44,15,14,5127.526119,5.0,5.0,0.15,4.0,5127.526119,5.0,0.15,7745.489782494375,7745.489782494373,-1.8189894035458565e-12,7.845489782494372e-05
45,15,19,14564.75315,3.0,3.0,0.15,4.0,14564.75315,3.0,0.15,19975.039834940428,19975.039834940428,0.0,0.00020075039834940427
46,15,22,9599.180565,3.0,3.0,0.15,4.0,9599.180565,3.0,0.15,17784.811895487866,17784.81189548787,3.637978807091713e-12,0.0001788481189548787
47,16,8,5045.822583,5.0,5.0,0.15,4.0,5045.822583,5.0,0.15,8306.877566423338,8306.877566423342,3.637978807091713e-12,8.406877566423341e-05
48,16,10,4854.917717,4.0,4.0,0.15,4.0,4854.917717,4.0,0.15,10021.730236749501,10021.730236749498,-3.637978807091713e-12,0.00010121730236749498
49,16,17,5229.910063,2.0,2.0,0.15,4.0,5229.910063,2.0,0.15,12269.347789864001,12269.347789864005,3.637978807091713e-12,0.00012369347789864004
50,16,18,19679.89671,3.0,3.0,0.15,4.0,19679.89671,3.0,0.15,13634.456404875968,13634.45640487597,1.8189894035458565e-12,0.0001373445640487597
51,17,10,4993.510694,8.0,8.0,0.15,4.0,4993.510694,8.0,0.15,8089.5161007368515,8089.516100736851,-9.094947017729282e-13,8.18951610073685e-05
52,17,16,5229.910063,2.0,2.0,0.15,4.0,5229.910063,2.0,0.15,12274.631916359196,12274.631916359196,0.0,0.00012374631916359195
53,17,19,4823.950831,2.0,2.0,0.15,4.0,4823.950831,2.0,0.15,9503.216315868822,9503.21631586882,-1.8189894035458565e-12,9.60321631586882e-05
54,18,7,23403.47319,2.0,2.0,0.15,4.0,23403.47319,2.0,0.15,14313.17311177626,14313.17311177626,0.0,0.00014413173111776258
55,18,16,19679.89671,3.0,3.0,0.15,4.0,19679.89671,3.0,0.15,13646.088046243538,13646.088046243533,-5.4569682106375694e-12,0.00013746088046243533
56,18,20,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,18213.71229260679,18213.71229260678,-1.0913936421275139e-11,0.00018313712292606778
57,19,15,14564.75315,3.0,3.0,0.15,4.0,14564.75315,3.0,0.15,20059.581796018076,20059.58179601808,3.637978807091713e-12,0.00020159581796018079
58,19,17,4823.950831,2.0,2.0,0.15,4.0,4823.950831,2.0,0.15,9509.68332061815,9509.683320618149,-1.8189894035458565e-12,9.60968332061815e-05
59,19,20,5002.607563,4.0,4.0,0.15,4.0,5002.607563,4.0,0.15,9505.547387536344,9505.547387536342,-1.8189894035458565e-12,9.605547387536342e-05
60,20,18,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,18132.31310480715,18132.31310480716,1.0913936421275139e-11,0.0001823231310480716
61,20,19,5002.607563,4.0,4.0,0.15,4.0,5002.607563,4.0,0.15,9596.556353335503,9596.556353335514,1.0913936421275139e-11,9.696556353335514e-05
62,20,21,5059.91234,6.0,6.0,0.15,4.0,5059.91234,6.0,0.15,7130.08785693283,7130.087856932827,-2.7284841053187847e-12,7.230087856932827e-05
63,20,22,5075.697193,5.0,5.0,0.15,4.0,5075.697193,5.0,0.15,6923.689130094244,6923.689130094247,2.7284841053187847e-12,7.023689130094247e-05
64,21,20,5059.91234,6.0,6.0,0.15,4.0,5059.91234,6.0,0.15,7017.371241922748,7017.371241922748,0.0,7.117371241922747e-05
65,21,22,5229.910063,2.0,2.0,0.15,4.0,5229.910063,2.0,0.15,8957.325809308555,8957.325809308555,0.0,9.057325809308555e-05
66,21,24,4885.357564,3.0,3.0,0.15,4.0,4885.357564,3.0,0.15,11579.087878483564,11579.087878483564,0.0,0.00011679087878483564
67,22,15,9599.180565,3.0,3.0,0.15,4.0,9599.180565,3.0,0.15,18003.41417298108,18003.41417298108,0.0,0.0001810341417298108
68,22,20,5075.697193,5.0,5.0,0.15,4.0,5075.697193,5.0,0.15,6946.015523337034,6946.015523337034,0.0,7.046015523337035e-05
69,22,21,5229.910063,2.0,2.0,0.15,4.0,5229.910063,2.0,0.15,8912.89999074351,8912.89999074351,0.0,9.01289999074351e-05
70,22,23,5000.0,4.0,4.0,0.15,4.0,5000.0,4.0,0.15,9096.077273748848,9096.077273748848,0.0,9.196077273748848e-05
71,23,14,4924.790605,4.0,4.0,0.15,4.0,4924.790605,4.0,0.15,6269.757538441012,6269.757538441009,-2.7284841053187847e-12,6.369757538441009e-05
72,23,22,5000.0,4.0,4.0,0.15,4.0,5000.0,4.0,0.15,9292.580126262923,9292.580126262925,1.8189894035458565e-12,9.392580126262925e-05
73,23,24,5078.508436,2.0,2.0,0.15,4.0,5078.508436,2.0,0.15,6738.646600957729,6738.646600957729,0.0,6.838646600957729e-05
74,24,13,5091.256152,4.0,4.0,0.15,4.0,5091.256152,4.0,0.15,11062.232368578498,11062.2323685785,1.8189894035458565e-12,0.000111622323685785
75,24,21,4885.357564,3.0,3.0,0.15,4.0,4885.357564,3.0,0.15,11510.79708233335,11510.797082333349,-1.8189894035458565e-12,0.00011610797082333349
76,24,23,5078.508436,2.0,2.0,0.15,4.0,5078.508436,2.0,0.15,6669.302725183404,6669.302725183403,-9.094947017729282e-13,6.769302725183403e-05
