path_id,o_zone_id,d_zone_id,volume,link_sequence
72,1,19,-5.0579795024280164e-09,2;7;36;34;41;45
73,1,19,1200.0000000646708,2;6;10;34;41;45
74,1,19,-7.964026688563935e-09,2;6;9;13;25;29;49;53
75,1,19,-6.096784432298593e-09,1;4;16;20;18;56;61
76,1,19,-5.162519281536487e-09,2;7;37;39;75;65;67;45
77,1,19,-8.590713896617715e-09,2;7;36;32;29;49;53
78,1,19,-8.028518395090694e-09,2;6;10;32;29;49;53
79,1,20,6.799722599808033e-08,1;4;16;20;18;56
80,1,20,1199.9999997709403,2;7;37;39;75;64
81,1,20,3.3324368398211946e-08,1;4;16;22;50;56
82,1,20,5.405743282524895e-08,2;6;9;12;16;20;18;56
83,1,20,2.0764099092121796e-08,2;7;37;39;75;65;68
84,1,20,2.076409920435599e-08,2;7;37;39;76;72;68
85,1,20,-8.114326243973031e-09,1;4;16;22;49;53;59
86,1,20,2.8652242031590532e-08,2;6;9;12;16;22;50;56
87,1,20,-8.114326242841557e-09,1;4;16;20;18;55;49;53;59
88,1,20,1.9728938278299707e-08,2;6;9;13;25;29;50;56
89,1,21,400.0000000061394,2;7;37;39;75
90,1,21,1.2176678888942828e-09,2;7;37;39;76;72;69
91,1,21,-5.964944012834531e-10,2;6;10;34;42;73;75
92,1,21,-6.7605009978601895e-09,2;7;36;34;42;73;75
93,1,22,912.9510362166766,2;7;37;39;75;65
94,1,22,687.0489627833163,2;7;37;39;76;72
95,1,22,4.8145510997781766e-08,2;6;10;34;41;46
96,1,22,-5.445117095671307e-09,2;7;36;34;41;46
97,1,22,4.814550954225835e-08,2;6;10;34;42;72
98,1,22,-5.445117120457741e-09,2;7;36;34;42;72
99,1,22,-2.180938574007042e-09,1;4;16;20;18;56;63
100,1,22,8.740868125559253e-07,2;6;9;13;25;28;46
101,1,22,4.814550907773881e-08,2;6;10;32;28;46
102,1,22,-5.4451171293294714e-09,2;7;36;32;28;46
103,1,23,1199.9999999647655,2;7;37;39;76
104,1,23,4.8145509407298366e-08,2;6;10;34;42
105,1,23,-5.4451171229717745e-09,2;7;36;34;42
106,1,23,-7.465793928499152e-09,2;7;37;39;75;65;70
107,1,24,400.0,2;7;37;39
108,2,1,400.0,3
109,2,3,400.0000000047401,3;2
110,2,3,-4.740084248307657e-09,4;15;11;8
111,2,4,-4.244991370153163e-09,4;15;11
112,2,4,800.0000000042451,3;2;6
113,2,5,400.0,4;15
114,2,6,1600.0,4
115,2,7,800.0,4;16;20
116,2,8,1600.0,4;16
117,2,9,-3.526825174336827e-09,4;15;13
118,2,9,-7.848698547929139e-09,4;16;21
119,2,9,-9.038548747785687e-09,4;16;22;48;26
120,2,9,800.0000000204141,3;2;6;9;13
121,2,10,-8.839417113315612e-09,4;16;22;48
122,2,10,-3.5268251826776928e-09,4;15;13;25
123,2,10,-8.839417112873782e-09,4;16;20;18;55;48
124,2,10,-7.848698548876042e-09,4;16;21;25
125,2,10,-8.878194769062106e-09,4;16;22;49;51
126,2,10,-4.732096659733101e-09,4;15;11;10;32
127,2,10,2400.0000000426644,3;2;6;9;13;25
128,2,11,-4.244991370154314e-09,4;15;11;10
129,2,11,800.0000000520805,3;2;6;10
130,2,11,-5.057979500246999e-09,3;2;7;36
131,2,11,-9.193658769296635e-09,4;16;22;48;27
132,2,11,-8.123888793914324e-09,4;15;13;25;27
133,2,11,-9.193658769083813e-09,4;16;20;18;55;48;27
134,2,11,-7.451992393670636e-09,4;15;11;8;7;36
135,2,11,-8.814278898399922e-09,4;16;21;25;27
136,2,12,400.0000000047401,3;2;7
137,2,12,-4.7400842483076705e-09,4;15;11;8;7
138,2,13,1200.00000000474,3;2;7;37
139,2,13,-4.740084259337628e-09,4;15;11;8;7;37
140,2,14,-4.2449913602589444e-09,4;15;11;10;34
141,2,14,400.00000006699975,3;2;6;10;34
142,2,14,-8.949578737497295e-09,4;16;22;49;53;57;44
143,2,14,-5.057979493707256e-09,3;2;7;36;34
144,2,14,-9.193658769098916e-09,4;16;22;48;27;34
145,2,14,-8.123888792853475e-09,4;15;13;25;27;34
146,2,14,-8.949578737133885e-09,4;16;20;18;55;49;53;57;44
147,2,14,-5.162519267417374e-09,3;2;7;37;39;76;71
148,2,14,-9.193658769193756e-09,4;16;22;48;28;44
149,2,14,-8.123888793362248e-09,4;15;13;25;28;44
150,2,15,-7.61326013340004e-09,4;16;22;49;53;57
151,2,15,-7.613260131487896e-09,4;16;20;18;55;49;53;57
152,2,15,-8.585877473439238e-09,4;16;22;48;28
153,2,15,400.0000000357226,4;15;13;25;28
154,2,15,-4.8604778735721985e-09,4;16;20;18;56;61;57
155,2,15,-4.860477209097443e-09,4;16;20;18;56;63;67
156,2,15,-8.585877472780256e-09,4;16;20;18;55;48;28
157,2,15,-6.777843948587316e-09,4;16;21;25;28
158,2,15,-5.117934786292035e-09,4;16;22;50;56;61;57
159,2,15,1.829243212351569e-08,4;15;11;10;34;41
160,2,16,1149.3675851789326,4;16;22
161,2,16,450.6324148210674,4;16;20;18;55
162,2,17,501.7287580179012,4;16;22;49
163,2,17,298.2712419820988,4;16;20;18;55;49
164,2,19,-5.543889331701471e-09,4;16;22;49;53
165,2,19,-5.543889325204027e-09,4;16;20;18;55;49;53
166,2,19,399.9999999236288,4;16;20;18;56;61
167,2,19,8.745896311585369e-08,4;16;22;50;56;61
168,2,20,399.9999999286763,4;16;20;18;56
169,2,20,8.745896311641675e-08,4;16;22;50;56
170,2,20,-8.067608425550998e-09,4;16;22;49;53;59
171,2,20,-8.067608424362922e-09,4;16;20;18;55;49;53;59
172,2,22,-2.0803349788010156e-09,4;16;20;18;56;63
173,2,22,-8.259647793853882e-09,4;16;22;49;53;57;46
174,2,22,-4.574200071190826e-09,4;16;20;18;56;62;65
175,2,22,-2.6755324929111963e-09,4;16;22;50;56;63
176,2,22,-8.259647792865874e-09,4;16;20;18;55;49;53;57;46
177,2,22,-8.446629513520838e-09,4;16;22;49;53;59;63
178,2,22,-8.840938614716886e-09,4;16;22;48;28;46
179,2,22,400.0000000538551,3;2;7;37;39;75;65
180,2,22,-3.573874819765814e-09,4;15;13;25;28;46
181,2,22,-7.144369739088798e-09,4;16;20;18;56;61;57;46
182,3,1,400.0,5
183,3,2,400.00000000474006,5;1
184,3,2,-4.740084204913948e-09,6;9;12;14
185,3,4,800.0,6
186,3,5,400.0,6;9
187,3,6,34.1770160778206,6;9;12
188,3,6,1165.8229839221794,5;1;4
189,3,7,20.831859173320886,6;9;12;16;20
190,3,7,379.1681407645896,5;1;4;16;20
191,3,7,6.208951835459244e-08,6;9;12;16;22;50;54
192,3,8,28.14511214847515,6;9;12;16
193,3,8,771.8548878515248,5;1;4;16
194,3,9,400.0,6;9;13
195,3,10,1199.9999999620281,6;9;13;25
196,3,10,-5.4215294009587216e-09,7;36;32
197,3,10,5.223876107494929e-08,6;10;32
198,3,10,-8.845333116873012e-09,6;9;12;16;22;48
199,3,11,1200.0000000050582,6;10
200,3,11,-5.057979502427408e-09,7;36
201,3,12,800.0,7
202,3,13,400.0,7;37
203,3,14,400.0000000102205,6;10;34
204,3,14,-5.057979493703564e-09,7;36;34
205,3,14,-5.162519267413721e-09,7;37;39;76;71
206,3,15,5.223876883225998e-08,6;10;34;41
207,3,15,-5.421529357718801e-09,7;36;34;41
208,3,15,-5.511394182915907e-09,7;37;39;75;65;67
209,3,15,399.99999993700226,6;9;13;25;28
210,3,15,-5.511394181171853e-09,7;37;39;76;72;67
211,3,15,5.223876240294787e-08,6;10;32;28
212,3,15,-5.421529393524763e-09,7;36;32;28
213,3,15,-5.511394179657596e-09,7;37;39;76;71;41
214,3,15,-8.26953664880642e-09,6;9;12;16;22;49;53;57
215,3,15,-5.833065205496156e-09,6;10;34;42;72;67
216,3,16,17.45296711363304,6;9;12;16;22
217,3,16,1.1877678306111066e-07,6;9;13;25;29
218,3,16,-5.578725056708573e-09,7;36;32;29
219,3,16,3.19592199264884e-08,6;10;32;29
220,3,16,16.159257067013435,6;9;12;16;20;18;55
221,3,16,476.5656917626145,5;1;4;16;22
222,3,16,1.3251159710017121e-08,6;9;13;25;30;52
223,3,16,-6.174769456871781e-09,7;36;32;30;52
224,3,16,6.9274150084582226e-09,6;10;32;30;52
225,3,16,289.82208389757795,5;1;4;16;20;18;55
226,3,17,-7.653504546480661e-09,6;9;12;16;22;49
227,3,17,-7.695497007000999e-09,6;9;13;25;29;49
228,3,17,-8.467072552733155e-09,7;36;32;29;49
229,3,17,-7.777778777248358e-09,6;10;32;29;49
230,3,17,-7.653504544643248e-09,6;9;12;16;20;18;55;49
231,3,17,400.0000000077353,6;9;13;25;30
232,3,17,-5.42152939350769e-09,7;36;32;30
233,3,17,5.223876240616088e-08,6;10;32;30
234,3,17,-7.653504592122886e-09,5;1;4;16;22;49
235,3,17,-7.651704457916102e-09,7;37;39;75;65;67;45;58
236,3,22,206.9772881656993,7;37;39;75;65
237,3,22,193.02271083211735,7;37;39;76;72
238,3,22,4.814551184809453e-08,6;10;34;41;46
239,3,22,-5.445117080350281e-09,7;36;34;41;46
240,3,22,4.814551037665039e-08,6;10;34;42;72
241,3,22,-5.445117105144457e-09,7;36;34;42;72
242,3,22,8.740822450006646e-07,6;9;13;25;28;46
243,3,22,4.814550990623444e-08,6;10;32;28;46
244,3,22,-5.445117114018808e-09,7;36;32;28;46
245,3,23,399.99999995729956,7;37;39;76
246,3,23,4.814550980669166e-08,6;10;34;42
247,3,23,-5.445117115960936e-09,7;36;34;42
248,4,1,2000.0,8;5
249,4,2,-4.244991318218092e-09,9;12;14
250,4,2,800.000000004245,8;5;1
251,4,3,800.0,8
252,4,5,2000.0,9
253,4,6,1600.0,9;12
254,4,7,1600.0,9;12;16;20
255,4,8,2800.0,9;12;16
256,4,9,2800.0,9;13
257,4,10,4799.999999947761,9;13;25
258,4,10,5.2238760575452266e-08,10;32
259,4,11,5600.0,10
260,4,12,2400.0000000067157,8;7
261,4,12,-6.71557332781679e-09,10;33
262,4,13,2400.0000000067157,8;7;37
263,4,13,-6.71557332781679e-09,10;33;37
264,4,14,2000.0,10;34
265,4,15,5.2238767223290614e-08,10;34;41
266,4,15,1999.9999999262557,9;13;25;28
267,4,15,5.223876080843101e-08,10;32;28
268,4,15,-8.269536650280013e-09,9;12;16;22;49;53;57
269,4,15,-5.833065214011392e-09,10;34;42;72;67
270,4,15,-8.29248238278431e-09,9;13;25;29;49;53;57
271,4,15,-8.338077161133549e-09,10;32;29;49;53;57
272,4,16,2617.4931061998545,9;12;16;22
273,4,16,1.1877709993277202e-07,9;13;25;29
274,4,16,3.1959222230515e-08,10;32;29
275,4,16,582.5068936494091,9;12;16;20;18;55
276,4,17,-7.653504549208617e-09,9;12;16;22;49
277,4,17,-7.695497009481879e-09,9;13;25;29;49
278,4,17,-7.777778779545452e-09,10;32;29;49
279,4,17,-7.653504547371336e-09,9;12;16;20;18;55;49
280,4,17,1999.9999999944894,9;13;25;30
281,4,17,5.2238760808511475e-08,10;32;30
282,4,17,-5.436324050751654e-09,10;34;41;45;58
283,4,17,-5.07521256575182e-09,9;13;25;28;45;58
284,4,17,-5.43632408954698e-09,10;32;28;45;58
285,4,18,399.9999998477351,9;12;16;20;18
286,4,18,8.745896310738463e-08,9;12;16;22;50
287,4,18,4.547475520907265e-08,9;13;25;29;50
288,4,18,1.9331175426660848e-08,10;32;29;50
289,4,19,-7.997866291924036e-09,9;12;16;22;49;53
290,4,19,5.2238767827161155e-08,10;34;41;45
291,4,19,-8.02851838736517e-09,9;13;25;29;49;53
292,4,19,-8.089049847377557e-09,10;32;29;49;53
293,4,19,799.9999999291678,9;13;25;28;45
294,4,19,-7.997866290583838e-09,9;12;16;20;18;55;49;53
295,4,19,5.22387614068835e-08,10;32;28;45
296,4,19,3.642623611940472e-09,9;13;25;30;53
297,4,19,-6.364379312200835e-09,9;12;16;20;18;56;61
298,4,19,1.1898325697348732e-09,10;32;30;53
299,4,20,1199.9999997604289,9;12;16;20;18;56
300,4,20,8.74589593176707e-08,9;12;16;22;50;56
301,4,20,4.547475571251145e-08,9;13;25;29;50;56
302,4,20,-8.067608427020765e-09,9;12;16;22;49;53;59
303,4,20,1.9331175676420953e-08,10;34;41;45;59
304,4,20,-8.096177462201086e-09,9;13;25;29;49;53;59
305,4,20,1.9331175362279144e-08,10;32;29;50;56
306,4,20,4.547475581429453e-08,9;13;25;28;45;59
307,4,20,1.9331805916342515e-08,10;34;42;72;68
308,4,20,1.9331807226350542e-08,10;34;41;46;68
309,4,21,800.000000006803,8;7;37;39;75
310,4,21,1.112606167895739e-09,10;34;42;73;75
311,4,21,1.112606407292211e-09,10;34;41;46;69
312,4,21,1.1126062538050234e-09,10;34;42;72;69
313,4,21,3.5280043203098946e-09,9;13;25;28;46;69
314,4,21,1.1126061988312351e-09,10;32;28;46;69
315,4,21,-6.7155733256139355e-09,10;33;37;39;75
316,4,21,1.2176678505754122e-09,8;7;37;39;76;72;69
317,4,21,-4.198318951223662e-09,9;12;16;20;18;56;62
318,4,21,-5.0853254233427755e-09,9;12;16;20;18;56;63;69
319,4,22,5.223876732343172e-08,10;34;41;46
320,4,22,5.2238762593760255e-08,10;34;42;72
321,4,22,1599.9999997512537,9;13;25;28;46
322,4,22,5.22387609076768e-08,10;32;28;46
323,4,22,5.568420626456888e-08,8;7;37;39;75;65
324,4,22,-4.954031351509209e-10,10;34;42;73;75;65
325,4,22,5.568420684167466e-08,8;7;37;39;76;72
326,4,22,-2.281064319955618e-09,9;12;16;20;18;56;63
327,4,22,-8.269536650188147e-09,9;12;16;22;49;53;57;46
328,4,22,-8.292482382698671e-09,9;13;25;29;49;53;57;46
329,4,23,1.1764072187414206e-06,10;34;42
330,4,23,1999.9999988303084,8;7;37;39;76
331,4,23,-6.715573327602259e-09,10;33;37;39;76
332,4,24,800.0000000056029,8;7;37;39
333,4,24,1.1126061679205677e-09,10;34;42;73
334,4,24,-6.715573325611765e-09,10;33;37;39
335,5,1,800.0000000035942,11;8;5
336,5,1,-3.5941914976334483e-09,12;14;3
337,5,2,400.0,12;14
338,5,3,400.0,11;8
339,5,4,2000.0,11
340,5,6,800.0,12
341,5,7,800.0,12;16;20
342,5,8,2000.0,12;16
343,5,9,3200.0,13
344,5,10,4000.0,13;25
345,5,11,2000.0,11;10
346,5,12,800.0000000067155,11;8;7
347,5,12,-6.715573325611388e-09,11;10;33
348,5,13,800.0000000067155,11;8;7;37
349,5,13,-6.715573325611388e-09,11;10;33;37
350,5,14,400.00000000721644,11;10;34
351,5,14,-7.216467717219718e-09,13;25;27;34
352,5,15,800.0000000005007,13;25;28
353,5,15,1.8292431897234543e-08,11;10;34;41
354,5,15,-8.269536649725918e-09,12;16;22;49;53;57
355,5,15,-8.29248238226769e-09,13;25;29;49;53;57
356,5,15,1.8292430452175265e-08,11;10;32;28
357,5,15,-8.269536648731776e-09,12;16;20;18;55;49;53;57
358,5,15,-8.845333116737566e-09,12;16;22;48;28
359,5,15,-3.4085831159195793e-09,13;25;30;53;57
360,5,16,1499.5483461271147,12;16;22
361,5,16,1.1877709730530716e-07,13;25;29
362,5,16,500.4516537541084,12;16;20;18;55
363,5,17,-7.653504548183747e-09,12;16;22;49
364,5,17,-7.695497008549732e-09,13;25;29;49
365,5,17,-7.653504546346406e-09,12;16;20;18;55;49
366,5,17,800.0000000359468,13;25;30
367,5,17,-7.869067803255129e-09,11;10;32;29;49
368,5,17,-5.075212561472914e-09,13;25;28;45;58
369,5,19,-7.997866290680168e-09,12;16;22;49;53
370,5,19,-8.028518386217937e-09,13;25;29;49;53
371,5,19,400.0000000048133,13;25;28;45
372,5,19,-7.997866289339897e-09,12;16;20;18;55;49;53
373,5,19,3.642623670365496e-09,13;25;30;53
374,5,19,-6.364379308026683e-09,12;16;20;18;56;61
375,5,19,1.8292432123224627e-08,11;10;34;41;45
376,5,19,-8.156946586617516e-09,11;10;32;29;49;53
377,5,19,-6.4951255668545154e-09,12;16;22;50;56;61
378,5,19,1.8292430677316728e-08,11;10;32;28;45
379,5,20,399.9999997993963,12;16;20;18;56
380,5,20,8.745896309640094e-08,12;16;22;50;56
381,5,20,4.5474755205827775e-08,13;25;29;50;56
382,5,20,-8.067608425558853e-09,12;16;22;49;53;59
383,5,20,-8.09617746085163e-09,13;25;29;49;53;59
384,5,20,4.547475530754902e-08,13;25;28;45;59
385,5,20,-8.067608424370776e-09,12;16;20;18;55;49;53;59
386,5,20,9.49786132311453e-10,13;25;30;53;59
387,5,20,4.547691015054308e-08,13;25;28;46;68
388,5,21,8.300690068426183e-09,13;25;28;46;69
389,5,21,400.00000001214477,11;8;7;37;39;75
390,5,21,-3.4677176369343333e-09,12;16;20;18;56;62
391,5,21,1.1126062004141015e-09,11;10;34;42;73;75
392,5,21,-4.570949937686247e-09,12;16;20;18;56;63;69
393,5,21,1.112606439869204e-09,11;10;34;41;46;69
394,5,21,1.1126062863438205e-09,11;10;34;42;72;69
395,5,21,-8.419028957595357e-09,12;16;22;49;53;57;46;69
396,5,21,-8.438203396949879e-09,13;25;29;49;53;57;46;69
397,5,21,1.1126062313565062e-09,11;10;32;28;46;69
398,5,22,799.9999999516186,13;25;28;46
399,5,22,1.8292431897072495e-08,11;10;34;41;46
400,5,22,-2.2810643105607784e-09,12;16;20;18;56;63
401,5,22,1.829243083372692e-08,11;10;34;42;72
402,5,22,-8.269536649726514e-09,12;16;22;49;53;57;46
403,5,22,-8.292482382268282e-09,13;25;29;49;53;57;46
404,5,22,1.8983538703248256e-08,11;8;7;37;39;75;65
405,5,22,1.8292430452013535e-08,11;10;32;28;46
406,5,22,-4.6691740797983084e-09,12;16;20;18;56;62;65
407,5,22,-1.9672413053256596e-09,11;10;34;42;73;75;65
408,5,23,1.1763981948063757e-06,11;10;34;42
409,5,23,399.99999888063434,11;8;7;37;39;76
410,5,23,-7.222982496779158e-09,13;25;27;34;42
411,5,23,-7.2229824982506724e-09,13;25;28;46;70
412,5,23,-6.715573322455846e-09,11;10;33;37;39;76
413,5,23,-7.22298249786072e-09,13;25;28;44;42
414,5,23,-7.471195015604445e-09,11;10;34;41;46;70
415,5,23,-5.4451171162357714e-09,11;8;7;36;34;42
416,5,23,-7.957725314170197e-09,12;16;20;18;56;63;70
417,5,23,-7.774036423268537e-09,13;25;28;46;69;66;76
418,6,1,1199.9999996515799,14;3
419,6,1,3.484199864025899e-07,15;11;8;5
420,6,2,1600.0,14
421,6,3,38.41985765735788,15;11;8
422,6,3,1161.5801423426421,14;3;2
423,6,4,1600.0,15;11
424,6,5,800.0,15
425,6,7,1600.0,16;20
426,6,8,3200.0,16
427,6,9,1600.0000000067778,15;13
428,6,9,-6.777843953425582e-09,16;21
429,6,10,-8.58587747451005e-09,16;22;48
430,6,10,3200.0000000239493,15;13;25
431,6,10,-8.585877473851107e-09,16;20;18;55;48
432,6,10,-6.777843954232976e-09,16;21;25
433,6,11,1600.0000000162786,15;11;10
434,6,11,-9.062272654817573e-09,16;22;48;27
435,6,11,-7.216467720739815e-09,15;13;25;27
436,6,12,31.686467339417614,15;11;8;7
437,6,12,-6.7155732541691284e-09,15;11;10;33
438,6,12,768.313532667298,14;3;2;7
439,6,13,27.32553483621236,15;11;8;7;37
440,6,13,-6.715573254171888e-09,15;11;10;33;37
441,6,13,772.6744651980292,14;3;2;7;37
442,6,13,-9.115931152415115e-09,16;20;18;56;62;66;74
443,6,13,-9.27053899362069e-09,16;22;48;27;33;37
444,6,13,-9.139594036336043e-09,16;20;18;56;63;69;66;74
445,6,14,400.0000000726718,15;11;10;34
446,6,14,-8.715044920536097e-09,16;22;49;53;57;44
447,6,14,-9.062272654415208e-09,16;22;48;27;34
448,6,14,-7.216467717221022e-09,15;13;25;27;34
449,6,14,-8.715044919989413e-09,16;20;18;55;49;53;57;44
450,6,14,-9.062272654543844e-09,16;22;48;28;44
451,6,14,-7.216467718345888e-09,15;13;25;28;44
452,6,14,-8.194379971808797e-09,16;20;18;56;61;57;44
453,6,14,-9.062272654126546e-09,16;20;18;55;48;27;34
454,6,14,-5.427564283068585e-09,15;11;8;7;36;34
455,6,15,-7.613260135175004e-09,16;22;49;53;57
456,6,15,-7.6132601332629e-09,16;20;18;55;49;53;57
457,6,15,-8.585877474050905e-09,16;22;48;28
458,6,15,800.0000000357226,15;13;25;28
459,6,15,-4.860477882044884e-09,16;20;18;56;61;57
460,6,15,-4.86047721762995e-09,16;20;18;56;63;67
461,6,15,-8.58587747339194e-09,16;20;18;55;48;28
462,6,15,-6.777843951812275e-09,16;21;25;28
463,6,15,-5.11793479391148e-09,16;22;50;56;61;57
464,6,15,1.8292431897271654e-08,15;11;10;34;41
465,6,16,3002.1480195667236,16;22
466,6,16,597.8519804332765,16;20;18;55
467,6,17,1502.6589637036031,16;22;49
468,6,17,497.3410362963968,16;20;18;55;49
469,6,18,399.99999991254106,16;20;18
470,6,18,8.745896311683286e-08,16;22;50
471,6,19,-5.543889337717642e-09,16;22;49;53
472,6,19,-5.543889331219708e-09,16;20;18;55;49;53
473,6,19,800.0000000110878,16;20;18;56;61
474,6,20,1199.9999999206086,16;20;18;56
475,6,20,8.745895932050551e-08,16;22;50;56
476,6,20,-8.067608427019667e-09,16;22;49;53;59
477,6,21,399.9999999104521,16;20;18;56;62
478,6,21,2.214562350795854e-08,16;20;18;56;63;69
479,6,21,-7.914219364851992e-09,16;22;49;53;57;46;69
480,6,21,8.745896310767537e-08,16;22;50;56;62
481,6,21,-8.067608425554432e-09,16;22;49;53;59;62
482,6,21,1.4172594148410244e-08,16;22;50;56;63;69
483,6,21,-7.91421936343648e-09,16;20;18;55;49;53;57;46;69
484,6,21,-8.697250944667555e-09,16;22;48;28;46;69
485,6,21,-8.177184564364841e-09,16;22;49;53;59;63;69
486,6,21,6.54116347531152e-09,15;13;25;28;46;69
487,6,22,799.9999999143763,16;20;18;56;63
488,6,22,-7.769492024459088e-09,16;22;49;53;57;46
489,6,22,7.230490671067487e-09,16;20;18;56;62;65
490,6,22,8.745896026741614e-08,16;22;50;56;63
491,6,22,-7.7694920228182e-09,16;20;18;55;49;53;57;46
492,6,22,-8.067608426652961e-09,16;22;49;53;59;63
493,6,22,-8.642225101077882e-09,16;22;48;28;46
494,6,22,2.4075258544740697e-08,15;13;25;28;46
495,6,22,-5.5340679409219635e-09,16;20;18;56;61;57;46
496,6,22,4.64184961618148e-09,16;22;50;56;62;65
497,6,23,1.1763981949665869e-06,15;11;10;34;42
498,6,23,-6.976584442450403e-09,16;20;18;56;63;70
499,6,23,-8.716434971586869e-09,16;22;49;53;57;46;70
500,6,23,-7.427906861166276e-09,16;20;18;56;62;66;76
501,6,23,399.9999988862695,15;11;8;7;37;39;76
502,6,23,-7.618462695134798e-09,16;20;18;56;63;69;66;76
503,6,23,-7.067556036399532e-09,16;22;50;56;63;70
504,6,23,-8.716434971500517e-09,16;22;49;53;57;44;42
505,6,23,-7.427906855925068e-09,16;20;18;56;62;65;70
506,6,23,-8.716434971049621e-09,16;20;18;55;49;53;57;46;70
507,6,24,-7.4279068610750746e-09,16;20;18;56;62;66
508,6,24,400.0000000633146,15;11;8;7;37;39
509,6,24,-7.618462695056639e-09,16;20;18;56;63;69;66
510,6,24,-8.848225109206581e-09,16;22;49;53;57;46;69;66
511,6,24,1.1126062004882963e-09,15;11;10;34;42;73
512,6,24,-7.61846269463657e-09,16;20;18;56;63;70;73
513,6,24,-7.494042956620516e-09,16;22;50;56;62;66
514,6,24,-8.848225109107138e-09,16;22;49;53;57;46;70;73
515,6,24,-8.896590526987598e-09,16;22;49;53;59;62;66
516,6,24,-7.67527050585834e-09,16;22;50;56;63;69;66
517,7,1,1999.9999995894905,17;19;14;3
518,7,1,3.4841997446088646e-07,17;19;15;11;8;5
519,7,1,6.208947292473735e-08,18;55;47;19;14;3
520,7,2,800.0,17;19;14
521,7,3,25.8475699511712,17;19;15;11;8
